1,90
a,6795
able,39
about,390
above,68
absence,34
account,50
act,39
added,69
adele,121
affection,40
afraid,63
after,349
afternoon,63
afterwards,50
again,376
against,144
age,47
ago,49
agreement,38
ah,39
aid,46
air,76
all,931
allow,32
almost,147
alone,132
along,42
already,69
also,80
always,138
am,437
among,62
amongst,43
an,909
and,11372
angry,34
another,195
answer,132
answered,229
any,422
anything,100
apartment,38
appearance,35
appeared,95
approached,47
are,940
arm,67
arms,79
as,2520
ask,96
asked,257
asleep,34
aspect,36
at,1970
attempt,33
attention,39
aware,40
away,233
back,241
bad,76
be,1786
bear,84
beautiful,40
beauty,39
became,41
because,246
become,51
bed,142
been,612
before,444
began,125
beginning,32
behind,84
being,241
believe,107
bell,33
below,47
bent,53
besides,90
bessie,117
best,82
better,199
between,136
beyond,61
bid,50
bit,31
bitter,42
black,120
blood,58
blue,43
bonnet,33
book,69
books,59
both,216
boy,44
bread,46
break,32
breakfast,46
breath,41
bright,52
bring,56
brocklehurst,52
broke,41
broken,46
brother,66
brought,116
brow,38
business,64
but,1895
by,1129
c,31
call,77
called,111
calm,38
came,279
can,382
candle,72
cannot,217
cant,64
care,97
carriage,36
carried,35
case,43
catherine,334
catherines,44
cathy,114
caught,42
cause,34
certain,106
certainly,46
chair,90
chamber,70
chance,39
change,64
changed,35
chapter,81
character,63
charge,37
cheek,49
child,132
children,65
church,51
circumstances,33
clean,33
clear,54
close,73
closed,60
cold,115
come,405
comfort,39
coming,102
commenced,38
common,32
companion,55
company,56
conduct,33
consider,33
considered,36
continued,140
conversation,54
corner,36
could,784
couldnt,39
countenance,67
country,40
courage,32
course,89
cousin,69
creature,40
cried,170
cross,35
cry,48
cut,43
dare,47
dared,47
dark,122
darling,31
daughter,34
day,290
days,112
dead,90
deal,48
dean,43
dear,57
death,94
deep,69
delight,38
demanded,45
desire,48
devil,43
diana,70
did,628
didnt,53
die,66
died,42
different,46
dinner,47
directly,41
discovered,42
distance,53
do,735
does,133
dog,45
doing,55
done,137
dont,325
door,272
doors,45
doubt,87
down,412
draw,37
dream,46
dreary,31
dress,43
dressed,42
drew,75
during,71
duty,31
dying,31
e,54
each,145
ear,50
early,45
earnshaw,113
ears,31
earth,47
ease,31
eat,42
edgar,104
effort,35
eight,32
either,102
electronic,54
ellen,97
else,76
end,88
england,42
enough,160
enter,33
entered,96
entrance,35
ere,56
especially,31
even,167
evening,144
ever,223
every,180
evidently,35
except,54
exclaimed,115
existence,54
expect,34
expected,54
expressed,33
expression,48
eye,134
eyes,295
eyre,101
face,286
fair,52
fairfax,122
fall,39
family,67
fancy,48
far,158
fast,66
father,148
fear,98
feared,38
features,68
feel,124
feeling,81
feelings,65
feet,65
fell,86
felt,223
fetch,36
few,129
figure,32
filled,50
find,100
fine,78
fingers,52
finished,34
fire,182
first,285
fit,51
five,54
fixed,41
flesh,35
floor,38
flowers,35
follow,38
followed,77
following,32
foot,43
for,2166
forced,32
forehead,42
forget,58
forgive,36
form,51
formed,31
former,42
forth,39
fortune,37
forward,49
found,178
foundation,45
four,53
frame,41
free,49
french,44
fresh,31
friend,53
friends,61
from,1236
front,49
full,136
further,77
future,42
garden,61
gate,34
gateshead,43
gathered,39
gave,124
gaze,38
gazed,35
generally,38
gentleman,45
gentlemen,43
georgiana,42
get,207
getting,36
gimmerton,36
girl,94
girls,43
give,203
given,77
glad,73
glance,60
glass,47
go,418
god,127
going,159
gone,115
good,292
got,179
grace,50
grange,89
grave,54
great,180
green,43
grew,60
grey,33
grief,31
ground,47
guess,31
gutenberg,78
gutenbergtm,112
had,2173
hair,103
half,147
hall,106
hand,272
hands,133
handsome,53
hannah,38
happened,34
happiness,31
happy,80
hard,70
hardly,80
hareton,164
has,416
hate,61
have,1719
having,162
he,3806
head,218
health,35
hear,160
heard,259
hearing,33
heart,236
hearth,54
heathcliff,413
heathcliffs,54
heaven,47
heights,105
held,77
helen,57
hell,89
help,75
her,3238
here,321
herself,124
hes,100
high,67
hills,38
him,1605
himself,191
hindley,73
his,2627
hold,67
home,166
hope,115
horse,48
hour,153
hours,69
house,291
housekeeper,31
how,490
however,131
human,55
hurt,45
husband,52
hush,36
i,10555
id,62
idea,75
if,1001
ill,307
im,199
immediately,42
impossible,32
in,4318
indeed,140
information,38
ingram,81
inquired,54
instantly,36
instead,52
interest,49
interrupted,44
into,536
is,2053
isabella,54
it,3658
its,572
ive,108
jane,324
john,181
joseph,127
journey,37
joy,41
just,232
keep,144
kept,87
key,32
kind,92
kindness,36
kiss,36
kissed,31
kitchen,88
knee,38
knew,151
know,345
knows,32
lad,40
ladies,76
lady,145
laid,73
language,36
large,86
last,278
late,66
laugh,57
laughed,36
lay,110
learn,34
least,111
leave,174
leaving,39
led,42
left,212
length,39
less,81
let,262
letter,53
